,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,
50,blackassign0051,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,25,16,0.21951219,0.067545305,16.16666667,0.381443299,6.619243986,16.16666667,222,551,2.433460076,4,6.872958258,
51,blackassign0052,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,66,39,0.257142855,0.087136929,12.95789474,0.346872461,5.321906879,12.95789474,427,1139,2.301685892,10,6.754170325,
52,blackassign0053,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,49,4,0.849056588,0.092495637,11.63265306,0.394736842,4.810955961,11.63265306,225,523,2.408123791,5,7.093690249,
53,blackassign0054,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,13,2,0.733333284,0.037313433,18.71428571,0.363867684,7.63126136,18.71428571,143,375,2.369565217,1,6.861333333,
54,blackassign0055,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,30,9,0.538461525,0.059541985,16.53846154,0.358139535,6.758640429,16.53846154,231,610,2.262103506,5,6.606557377,
55,blackassign0056,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,21,9,0.399999987,0.060240964,18.44,0.399132321,7.535652928,18.44,184,441,2.451612903,2,6.979591837,
56,blackassign0057,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,23,10,0.393939382,0.08847185,11.4375,0.387978142,4.730191257,11.4375,142,337,2.50295858,1,7.421364985,
57,blackassign0058,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,13,1,0.857142796,0.050359712,18,0.476190476,7.39047619,18,120,240,2.648305085,3,7.5625,
58,blackassign0059,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,31,38,-0.101449274,0.110047847,10.61016949,0.309904153,4.368029458,10.61016949,194,570,2.206540448,14,6.707017544,
59,blackassign0060,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,17,3,0.699999965,0.072202166,18.64285714,0.390804598,7.613464696,18.64285714,102,250,2.547717842,2,7.128,
60,blackassign0061,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,41,12,0.547169801,0.086038961,13.5,0.442760943,5.577104377,13.5,263,559,2.622222222,1,7.415026834,
61,blackassign0062,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,9,8,0.058823526,0.068,19.33333333,0.396551724,7.891954023,19.33333333,92,225,2.585714286,5,7.231111111,
62,blackassign0063,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,17,26,-0.209302321,0.122857143,14.70833333,0.376770538,6.034041549,14.70833333,133,335,2.387387387,6,6.994029851,
63,blackassign0064,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,34,50,-0.190476188,0.067578439,15.44871795,0.395850622,6.337827428,15.44871795,477,1131,2.465454545,17,7.359858532,
64,blackassign0065,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,50,24,0.351351347,0.070813397,14.77333333,0.300541516,6.02954994,14.77333333,333,1043,2.231445313,19,6.607861937,
65,blackassign0066,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,42,27,0.217391301,0.064546305,14.30136986,0.309386973,5.844302734,14.30136986,323,978,2.208595388,16,6.569529652,
66,blackassign0067,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,32,8,0.599999985,0.066006601,8.464788732,0.351081531,3.526348105,8.464788732,211,542,2.243194192,1,6.745387454,
67,blackassign0068,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,48,8,0.714285702,0.065497076,14.25806452,0.307692308,5.82630273,14.25806452,272,825,2.220588235,5,6.716363636,
68,blackassign0069,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,38,7,0.688888874,0.113350126,19.0952381,0.401496259,7.798693742,19.0952381,161,384,2.395778364,9,6.9765625,
69,blackassign0070,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,49,17,0.484848478,0.057441253,15.91666667,0.386561955,6.521291449,15.91666667,443,1080,2.433206107,8,6.9,
70,blackassign0071,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,29,72,-0.42574257,0.144906743,9.837837838,0.32967033,4.067003267,9.837837838,240,666,2.266968326,9,6.761261261,
71,blackassign0072,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,72,24,0.499999995,0.118518518,10.425,0.275779376,4.280311751,10.425,230,756,2.086049544,6,6.498677249,
72,blackassign0073,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,30,35,-0.076923076,0.082802548,15.31372549,0.28809219,6.240727072,15.31372549,225,736,2.242732558,1,6.411684783,
73,blackassign0074,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,31,24,0.127272725,0.06387921,11.59722222,0.384431138,4.792661344,11.59722222,321,772,2.479138627,7,7.095854922,
74,blackassign0075,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,28,78,-0.471698109,0.148044693,10.62857143,0.333333333,4.384761905,10.62857143,248,681,2.278106509,10,6.767988253,
75,blackassign0076,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,26,12,0.368421043,0.067736185,14.23684211,0.386321627,5.849265493,14.23684211,209,515,2.424742268,6,6.790291262,
76,blackassign0077,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,16,7,0.391304331,0.066091954,21.4,0.408099688,8.723239875,21.4,131,308,2.456953642,1,7.107142857,
77,blackassign0078,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,33,19,0.269230764,0.081632653,21.71428571,0.383223684,8.839003759,21.71428571,233,582,2.52079566,1,7.127147766,
78,blackassign0079,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,28,33,-0.081967212,0.067032967,14.46774194,0.337792642,5.922213831,14.46774194,303,840,2.314356436,6,6.791666667,
79,blackassign0080,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,44,12,0.571428561,0.020304569,10.08695652,0.25822884,4.138074145,10.08695652,659,2348,2.023100844,1,6.20528109,
80,blackassign0081,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,41,49,-0.088888888,0.079086116,13.21590909,0.368873603,5.433913077,13.21590909,429,1078,2.431884058,6,6.910946197,
81,blackassign0082,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,37,65,-0.274509801,0.087403599,16.79104478,0.412444444,6.881395688,16.79104478,464,1063,2.619675456,1,7.180620884,
82,blackassign0083,https://insights.blackcoffer.com/human-rights-outlook/,11,2,0.692307639,0.051587301,21.18181818,0.39055794,8.628950449,21.18181818,91,224,2.472477064,3,7.15625,
83,blackassign0084,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,36,5,0.756097543,0.060471976,15.97619048,0.314456036,6.516258605,15.97619048,211,633,2.185714286,1,6.699842022,
84,blackassign0085,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,45,35,0.124999998,0.074487896,9.696721311,0.366863905,4.025434087,9.696721311,434,1064,2.344137274,5,6.869360902,
85,blackassign0086,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,56,15,0.577464781,0.06152513,13.17777778,0.333895447,5.40466929,13.17777778,396,1105,2.204524887,6,6.764705882,
86,blackassign0087,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,38,34,0.055555555,0.088888889,15.8627451,0.341161928,6.481562811,15.8627451,276,761,2.389901823,4,6.76478318,
87,blackassign0088,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,24,45,-0.304347822,0.051377513,16.61538462,0.360339506,6.790289649,16.61538462,467,1238,2.264855688,2,6.658319871,
88,blackassign0089,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,24,43,-0.283582085,0.089095745,13.96226415,0.336486486,5.719500255,13.96226415,249,694,2.363095238,4,6.88184438,
89,blackassign0090,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,44,48,-0.04347826,0.113300492,11.14473684,0.348288076,4.597209967,11.14473684,295,777,2.319480519,28,6.801801802,
90,blackassign0091,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,31,28,0.050847457,0.080491132,19.17073171,0.382951654,7.821473345,19.17073171,301,750,2.418508287,13,6.845333333,
91,blackassign0092,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,29,42,-0.183098589,0.070929071,14.5,0.340647858,5.936259143,14.5,326,903,2.340253749,3,6.859357697,
92,blackassign0093,https://insights.blackcoffer.com/travel-and-tourism-outlook/,12,4,0.499999969,0.057971014,19.92307692,0.370656371,8.117493317,19.92307692,96,248,2.382716049,3,7.004032258,
93,blackassign0094,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,40,47,-0.080459769,0.103202847,12.75757576,0.332541568,5.23604693,12.75757576,280,786,2.356275304,12,6.675572519,
94,blackassign0095,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,16,26,-0.238095232,0.069883527,14.63157895,0.375899281,6.002991291,14.63157895,209,523,2.406882591,5,6.814531549,
95,blackassign0096,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,35,58,-0.247311825,0.11097852,15.17857143,0.405882353,6.233781513,15.17857143,345,799,2.506544503,3,7.145181477,
96,blackassign0097,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,30,36,-0.09090909,0.09375,16.25,0.352447552,6.640979021,16.25,252,676,2.413902054,6,6.729289941,
97,blackassign0098,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,9,1,0.79999992,0.034246575,28.11111111,0.411067194,11.40887132,28.11111111,104,246,2.570815451,1,7.24796748,
98,blackassign0099,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,20,4,0.666666639,0.048582996,14.47058824,0.333333333,5.921568627,14.47058824,164,461,2.251082251,4,6.581344902,
99,blackassign0100,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,37,55,-0.195652172,0.127777778,18.67567568,0.382054993,7.623092267,18.67567568,264,660,2.527687296,3,7.166666667,
